first 50,total time,second 50
28.85,57.77,-28.92
28.66,58.14,-29.48
28.57,58.25,-29.68
28.76,58.35,-29.59
28.76,58.36,-29.6
28.56,58.69,-30.13
28.56,58.85,-30.29
29.17,59.59,-30.42
28.83,59.65,-30.82
28.86,59.67,-30.81
29.13,59.77,-30.64
28.85,01:00.4,-31.55
29.88,01:00.4,-30.54
29.41,01:00.5,-31.07
29.37,01:00.6,-31.26
29.61,01:01.0,-31.39
29.97,01:01.4,-31.47
29.93,01:01.5,-31.56
29.42,01:01.6,-32.14
29.64,01:01.8,-32.11
30.09,01:01.8,-31.66
29.63,01:01.8,-32.19
30.25,01:01.9,-31.64
30.42,01:02.8,-32.36
30.6,01:02.9,-32.27
30.71,01:02.9,-32.17
30.54,01:03.0,-32.44
30.26,01:03.0,-32.74
30.61,01:03.2,-32.58
30.65,01:03.6,-32.94
30.86,01:04.0,-33.18
31.25,01:04.5,-33.21
30.86,01:05.4,-34.52